"time","output","temperature_room","temperature_labnode"
"2022-09-21 01:12:24+00",877,296.125,306.2
"2022-09-21 01:12:26+00",877,296.12,306.21
"2022-09-21 01:12:28+00",877,296.11749999999995,306.195
"2022-09-21 01:12:30+00",877,296.12999999999994,306.195
"2022-09-21 01:12:32+00",877,296.125,306.2
"2022-09-21 01:12:34+00",877,296.12166666666667,306.2
"2022-09-21 01:12:36+00",877,296.12666666666667,306.205
"2022-09-21 01:12:38+00",877,296.1257142857143,306.21
"2022-09-21 01:12:40+00",877,296.12,306.21
"2022-09-21 01:12:42+00",877,296.12333333333333,306.21000000000004
"2022-09-21 01:12:44+00",877,296.125,306.21
"2022-09-21 01:12:46+00",877,296.12,306.21
"2022-09-21 01:12:48+00",877,296.11400000000003,306.225
"2022-09-21 01:12:50+00",877,296.125,306.21000000000004
"2022-09-21 01:12:52+00",877,296.13,306.21500000000003
"2022-09-21 01:12:54+00",877,296.125,306.21
"2022-09-21 01:12:56+00",877,296.125,306.22
"2022-09-21 01:12:58+00",877,296.11800000000005,306.21
"2022-09-21 01:13:00+00",877,296.13125,306.22
"2022-09-21 01:13:02+00",877,296.13000000000005,306.205
"2022-09-21 01:13:04+00",877,296.12333333333333,306.205
"2022-09-21 01:13:06+00",877,296.1333333333333,306.2
"2022-09-21 01:13:08+00",877,296.125,306.21
"2022-09-21 01:13:10+00",877,296.14,306.205
"2022-09-21 01:13:12+00",877,296.12600000000003,306.19
"2022-09-21 01:13:14+00",877,296.13599999999997,306.205
"2022-09-21 01:13:16+00",877,296.13714285714286,306.21000000000004
"2022-09-21 01:13:18+00",877,296.1275,306.205
"2022-09-21 01:13:20+00",877,296.12666666666667,306.2
"2022-09-21 01:13:22+00",877,296.135,306.21
"2022-09-21 01:13:24+00",877,296.1242857142857,306.205
"2022-09-21 01:13:26+00",877,296.11999999999995,306.2
"2022-09-21 01:13:28+00",877,296.12600000000003,306.205
"2022-09-21 01:13:30+00",877,296.13142857142856,306.2
"2022-09-21 01:13:32+00",877,296.135,306.205
"2022-09-21 01:13:34+00",877,296.146,306.21
"2022-09-21 01:13:36+00",877,296.14,306.195
"2022-09-21 01:13:38+00",877,296.1333333333334,306.195
"2022-09-21 01:13:40+00",877,296.14285714285717,306.205
"2022-09-21 01:13:42+00",877,296.13428571428574,306.2
"2022-09-21 01:13:44+00",877,296.14,306.2
"2022-09-21 01:13:46+00",877,296.13599999999997,306.2
"2022-09-21 01:13:48+00",877,296.13666666666666,306.2
"2022-09-21 01:13:50+00",877,296.14125,306.19
