# This file contains voltage measurements accross a 100 Ω shunt resistor driven by the digital current driver.
# KS34470A ACAL TEMP=+2.75075130E+01
# Log started at UTC: 2021-04-13T19:43:25+00:00
# Date,Value KS34470A
2021-04-13 20:08:39.563647,-1.02443948E+01
2021-04-13 20:08:43.618736,-1.02443947E+01
2021-04-13 20:08:47.673675,-1.02443946E+01
2021-04-13 20:08:51.902337,-1.02443944E+01
2021-04-13 20:08:55.956383,-1.02443951E+01
2021-04-13 20:09:00.010360,-1.02443950E+01
2021-04-13 20:09:04.064178,-1.02443951E+01
2021-04-13 20:09:08.118878,-1.02443950E+01
2021-04-13 20:09:12.173822,-1.02443954E+01
2021-04-13 20:09:16.228463,-1.02443946E+01
2021-04-13 20:09:20.283145,-1.02443946E+01
2021-04-13 20:09:24.338084,-1.02443945E+01
2021-04-13 20:09:28.392759,-1.02443945E+01
2021-04-13 20:09:32.447637,-1.02443949E+01
2021-04-13 20:09:36.502089,-1.02443953E+01
2021-04-13 20:09:40.556106,-1.02443960E+01
2021-04-13 20:09:44.610245,-1.02443938E+01
2021-04-13 20:09:48.664989,-1.02443950E+01
2021-04-13 20:09:52.719482,-1.02443944E+01
2021-04-13 20:09:56.773478,-1.02443947E+01
2021-04-13 20:10:00.827602,-1.02443950E+01
2021-04-13 20:10:04.881693,-1.02443945E+01
2021-04-13 20:10:08.935706,-1.02443956E+01
2021-04-13 20:10:12.989395,-1.02443950E+01
2021-04-13 20:10:17.042922,-1.02443948E+01
2021-04-13 20:10:21.098129,-1.02443943E+01
2021-04-13 20:10:25.152191,-1.02443943E+01
2021-04-13 20:10:29.206413,-1.02443947E+01
2021-04-13 20:10:33.260369,-1.02443951E+01
2021-04-13 20:10:37.314964,-1.02443950E+01
2021-04-13 20:10:41.369434,-1.02443945E+01
2021-04-13 20:10:45.423571,-1.02443943E+01
2021-04-13 20:10:49.477596,-1.02443953E+01
2021-04-13 20:10:53.531786,-1.02443940E+01
2021-04-13 20:10:57.585933,-1.02443945E+01
2021-04-13 20:11:01.640063,-1.02443953E+01
2021-04-13 20:11:05.694190,-1.02443962E+01
2021-04-13 20:11:09.748815,-1.02443960E+01
2021-04-13 20:11:13.803507,-1.02443964E+01
2021-04-13 20:11:17.858421,-1.02443958E+01
2021-04-13 20:11:21.913007,-1.02443942E+01
2021-04-13 20:11:25.968142,-1.02443954E+01
2021-04-13 20:11:30.022937,-1.02443952E+01
2021-04-13 20:11:34.077853,-1.02443954E+01
2021-04-13 20:11:38.131905,-1.02443967E+01
2021-04-13 20:11:42.266766,-1.02443948E+01
2021-04-13 20:11:46.320745,-1.02443965E+01
2021-04-13 20:11:50.375195,-1.02443960E+01
2021-04-13 20:11:54.429186,-1.02443956E+01
2021-04-13 20:11:58.484232,-1.02443963E+01
2021-04-13 20:12:02.538570,-1.02443951E+01
2021-04-13 20:12:06.592577,-1.02443952E+01
2021-04-13 20:12:10.646640,-1.02443952E+01
2021-04-13 20:12:14.701477,-1.02443962E+01
2021-04-13 20:12:18.755694,-1.02443955E+01
2021-04-13 20:12:22.810792,-1.02443948E+01
2021-04-13 20:12:26.865393,-1.02443949E+01
2021-04-13 20:12:30.920288,-1.02443949E+01
2021-04-13 20:12:34.974968,-1.02443944E+01
2021-04-13 20:12:39.030108,-1.02443950E+01
2021-04-13 20:12:43.084801,-1.02443950E+01
2021-04-13 20:12:47.223814,-1.02443955E+01
2021-04-13 20:12:51.278139,-1.02443950E+01
2021-04-13 20:12:55.332411,-1.02443948E+01
2021-04-13 20:12:59.386654,-1.02443946E+01
2021-04-13 20:13:03.440632,-1.02443945E+01
2021-04-13 20:13:07.494965,-1.02443953E+01
2021-04-13 20:13:11.549163,-1.02443952E+01
