"time","output","temperature room","temperature labnode"
"2022-09-24 09:07:48+00",570,296.135,307.2
"2022-09-24 09:07:50+00",570,296.145,307.205
"2022-09-24 09:07:52+00",570,296.145,307.205
"2022-09-24 09:07:54+00",570,296.17,307.205
"2022-09-24 09:07:56+00",570,296.15,307.205
"2022-09-24 09:07:58+00",570,296.155,307.22
"2022-09-24 09:08:00+00",570,296.175,307.21
"2022-09-24 09:08:02+00",570,296.17,307.2
"2022-09-24 09:08:04+00",570,296.15999999999997,307.205
"2022-09-24 09:08:06+00",570,296.15999999999997,307.21
"2022-09-24 09:08:08+00",570,296.15999999999997,307.2
"2022-09-24 09:08:10+00",570,296.18,307.205
"2022-09-24 09:08:12+00",570,296.15999999999997,307.21500000000003
"2022-09-24 09:08:14+00",570,296.16499999999996,307.205
"2022-09-24 09:08:16+00",570,296.15999999999997,307.21
"2022-09-24 09:08:18+00",570,296.17,307.205
"2022-09-24 09:08:20+00",570,296.18,307.2
"2022-09-24 09:08:22+00",570,296.175,307.195
"2022-09-24 09:08:24+00",570,296.145,307.2
"2022-09-24 09:08:26+00",570,296.15999999999997,307.205
"2022-09-24 09:08:28+00",570,296.155,307.205
"2022-09-24 09:08:30+00",570,296.16499999999996,307.205
"2022-09-24 09:08:32+00",570,296.17,307.2
"2022-09-24 09:08:34+00",570,296.18,307.21
"2022-09-24 09:08:36+00",570,296.175,307.21
"2022-09-24 09:08:38+00",570,296.175,307.2
"2022-09-24 09:08:40+00",570,296.2,307.2
"2022-09-24 09:08:42+00",570,296.175,307.195
"2022-09-24 09:08:44+00",570,296.17499999999995,307.205
"2022-09-24 09:08:46+00",570,296.175,307.2
"2022-09-24 09:08:48+00",570,296.175,307.21000000000004
"2022-09-24 09:08:50+00",570,296.19,307.21500000000003
"2022-09-24 09:08:52+00",570,296.185,307.2
"2022-09-24 09:08:54+00",570,296.2,307.2
"2022-09-24 09:08:56+00",570,296.16499999999996,307.205
"2022-09-24 09:08:58+00",570,296.175,307.21500000000003
"2022-09-24 09:09:00+00",570,296.15,307.205
"2022-09-24 09:09:02+00",570,296.185,307.205
"2022-09-24 09:09:04+00",570,296.185,307.205
"2022-09-24 09:09:06+00",570,296.16499999999996,307.21500000000003
"2022-09-24 09:09:08+00",570,296.175,307.21500000000003
"2022-09-24 09:09:10+00",570,296.15999999999997,307.21
"2022-09-24 09:09:12+00",570,296.19,307.205
"2022-09-24 09:09:14+00",570,296.16499999999996,307.21500000000003
"2022-09-24 09:09:16+00",570,296.175,307.21500000000003
"2022-09-24 09:09:18+00",570,296.175,307.22
"2022-09-24 09:09:20+00",570,296.17,307.205
"2022-09-24 09:09:22+00",570,296.185,307.21
"2022-09-24 09:09:24+00",570,296.175,307.21
"2022-09-24 09:09:26+00",570,296.175,307.22
"2022-09-24 09:09:28+00",570,296.19,307.21
"2022-09-24 09:09:30+00",570,296.19,307.2
"2022-09-24 09:09:32+00",570,296.15999999999997,307.205
"2022-09-24 09:09:34+00",570,296.175,307.205
"2022-09-24 09:09:36+00",570,296.175,307.21000000000004
"2022-09-24 09:09:38+00",570,296.175,307.21
"2022-09-24 09:09:40+00",570,296.2,307.195
"2022-09-24 09:09:42+00",570,296.19,307.2
"2022-09-24 09:09:44+00",570,296.16499999999996,307.2
"2022-09-24 09:09:46+00",570,296.185,307.19
"2022-09-24 09:09:48+00",570,296.18,307.19
"2022-09-24 09:09:50+00",570,296.185,307.195
"2022-09-24 09:09:52+00",570,296.19,307.19
"2022-09-24 09:09:54+00",570,296.15999999999997,307.19
"2022-09-24 09:09:56+00",570,296.175,307.2
"2022-09-24 09:09:58+00",570,296.16499999999996,307.195
"2022-09-24 09:10:00+00",570,296.175,307.19
"2022-09-24 09:10:02+00",570,296.15999999999997,307.185
"2022-09-24 09:10:04+00",570,296.17,307.19
"2022-09-24 09:10:06+00",570,296.15,307.2
"2022-09-24 09:10:08+00",570,296.16499999999996,307.195
"2022-09-24 09:10:10+00",570,296.15999999999997,307.19
"2022-09-24 09:10:12+00",570,296.15999999999997,307.2
"2022-09-24 09:10:14+00",570,296.19,307.205
"2022-09-24 09:10:16+00",570,296.15999999999997,307.21
"2022-09-24 09:10:18+00",570,296.175,307.21500000000003
"2022-09-24 09:10:20+00",570,296.17,307.205
"2022-09-24 09:10:22+00",570,296.16499999999996,307.195
"2022-09-24 09:10:24+00",570,296.19,307.2
"2022-09-24 09:10:26+00",570,296.175,307.205
"2022-09-24 09:10:28+00",570,296.175,307.21000000000004
"2022-09-24 09:10:30+00",570,296.17,307.205
"2022-09-24 09:10:32+00",570,296.18,307.2
"2022-09-24 09:10:34+00",570,296.15999999999997,307.195
"2022-09-24 09:10:36+00",570,296.17,307.2
"2022-09-24 09:10:38+00",570,296.175,307.21
"2022-09-24 09:10:40+00",570,296.175,307.205
"2022-09-24 09:10:42+00",570,296.18,307.21
"2022-09-24 09:10:44+00",570,296.15999999999997,307.2
"2022-09-24 09:10:46+00",570,296.16499999999996,307.2
"2022-09-24 09:10:48+00",570,296.175,307.205
"2022-09-24 09:10:50+00",570,296.19,307.2
"2022-09-24 09:10:52+00",570,296.145,307.205
"2022-09-24 09:10:54+00",570,296.16499999999996,307.195
"2022-09-24 09:10:56+00",570,296.15999999999997,307.2
"2022-09-24 09:10:58+00",570,296.18,307.195
"2022-09-24 09:11:00+00",570,296.15999999999997,307.195
