#Vsd vs Id simulation of a simple MOSFET model
#Vsd,Vgs=-0.2,Vgs=-0.4,Vgs=-0.6,Vgs=-0.8
6.300000000000003e-001,-1.630097520001000e-002,-6.520390080001003e-002,-1.467087768000100e-001,-2.490381486180101e-001
6.400000000000004e-001,-1.630162560001000e-002,-6.520650240001001e-002,-1.467146304000100e-001,-2.503929692160100e-001
6.500000000000004e-001,-1.630227600001000e-002,-6.520910400001001e-002,-1.467204840000100e-001,-2.516663857500101e-001
6.600000000000004e-001,-1.630292640001000e-002,-6.521170560001002e-002,-1.467263376000100e-001,-2.528583884640100e-001
6.700000000000004e-001,-1.630357680001000e-002,-6.521430720001002e-002,-1.467321912000100e-001,-2.539689676020100e-001
6.800000000000004e-001,-1.630422720001000e-002,-6.521690880001002e-002,-1.467380448000100e-001,-2.549981134080100e-001
6.900000000000004e-001,-1.630487760001000e-002,-6.521951040001002e-002,-1.467438984000100e-001,-2.559458161260100e-001
7.000000000000004e-001,-1.630552800000999e-002,-6.522211200001001e-002,-1.467497520000100e-001,-2.568120660000100e-001
7.100000000000004e-001,-1.630617840000999e-002,-6.522471360001000e-002,-1.467556056000100e-001,-2.575968532740100e-001
7.200000000000004e-001,-1.630682880000999e-002,-6.522731520001002e-002,-1.467614592000100e-001,-2.583001681920101e-001
7.300000000000004e-001,-1.630747920000999e-002,-6.522991680001002e-002,-1.467673128000100e-001,-2.589220009980101e-001
7.400000000000004e-001,-1.630812960000999e-002,-6.523251840001003e-002,-1.467731664000100e-001,-2.594623419360100e-001
7.500000000000004e-001,-1.630878000000999e-002,-6.523512000001000e-002,-1.467790200000100e-001,-2.599211812500100e-001
7.600000000000005e-001,-1.630943040000999e-002,-6.523772160001001e-002,-1.467848736000100e-001,-2.602985091840100e-001
7.700000000000005e-001,-1.631008080000999e-002,-6.524032320001001e-002,-1.467907272000100e-001,-2.605943159820100e-001
7.800000000000005e-001,-1.631073120000999e-002,-6.524292480001001e-002,-1.467965808000100e-001,-2.608085918880100e-001
7.900000000000005e-001,-1.631138160000999e-002,-6.524552640001001e-002,-1.468024344000100e-001,-2.609413271460100e-001
8.000000000000005e-001,-1.631203200000999e-002,-6.524812800001002e-002,-1.468082880000100e-001,-2.609925120000101e-001
8.100000000000005e-001,-1.631268240000999e-002,-6.525072960001001e-002,-1.468141416000100e-001,-2.610029184000100e-001
8.200000000000005e-001,-1.631333280000999e-002,-6.525333120001001e-002,-1.468199952000100e-001,-2.610133248000100e-001
8.300000000000005e-001,-1.631398320000999e-002,-6.525593280001002e-002,-1.468258488000100e-001,-2.610237312000101e-001
8.400000000000005e-001,-1.631463360000999e-002,-6.525853440001002e-002,-1.468317024000100e-001,-2.610341376000100e-001
8.500000000000005e-001,-1.631528400000999e-002,-6.526113600001002e-002,-1.468375560000100e-001,-2.610445440000100e-001
8.600000000000005e-001,-1.631593440000999e-002,-6.526373760001002e-002,-1.468434096000101e-001,-2.610549504000100e-001
8.700000000000006e-001,-1.631658480000999e-002,-6.526633920001002e-002,-1.468492632000100e-001,-2.610653568000100e-001
8.800000000000006e-001,-1.631723520000999e-002,-6.526894080001001e-002,-1.468551168000100e-001,-2.610757632000100e-001
8.900000000000006e-001,-1.631788560000999e-002,-6.527154240001001e-002,-1.468609704000100e-001,-2.610861696000100e-001
9.000000000000006e-001,-1.631853600000999e-002,-6.527414400001001e-002,-1.468668240000100e-001,-2.610965760000100e-001
9.100000000000006e-001,-1.631918640000999e-002,-6.527674560001003e-002,-1.468726776000101e-001,-2.611069824000101e-001
